mes,n_reclamos
2015-03,2375
2015-04,5376
2015-05,5643
2015-06,5904
2015-07,6627
2015-08,6452
2015-09,5759
2015-10,6258
2015-11,5136
2015-12,5193
2016-01,5649
2016-02,5578
2016-03,6406
2016-04,6212
2016-05,6192
2016-06,6332
2016-07,6561
2016-08,7086
2016-09,7484
2016-10,7541
2016-11,6140
2016-12,6585
2017-01,9473
2017-02,7656
2017-03,8462
2017-04,8539
2017-05,9696
2017-06,9183
2017-07,10022
2017-08,10315
2017-09,13598
2017-10,9945
2017-11,9186
2017-12,9236
2018-01,11465
2018-02,10508
2018-03,11139
2018-04,10662
2018-05,10389
2018-06,9038
2018-07,9492
2018-08,9833
2018-09,8339
2018-10,10049
2018-11,8830
2018-12,8649
2019-01,8530
2019-02,9609
2019-03,10363
2019-04,10090
2019-05,10473
2019-06,10606
2019-07,11160
2019-08,12056
2019-09,10345
2019-10,11708
2019-11,10243
2019-12,9660
2020-01,11575
2020-02,10955
2020-03,13133
2020-04,15201
2020-05,16347
2020-06,15710
2020-07,17255
2020-08,15862
2020-09,14206
2020-10,14333
2020-11,13861
2020-12,15859
2021-01,16436
2021-02,14975
2021-03,18519
2021-04,16171
2021-05,16321
2021-06,17374
2021-07,18406
2021-08,16926
2021-09,16588
2021-10,16708
2021-11,16969
2021-12,18177
2022-01,19547
2022-02,21486
2022-03,24261
2022-04,30346
2022-05,24790
2022-06,26607
2022-07,29107
2022-08,32055
2022-09,29786
2022-10,32592
2022-11,31533
2022-12,35163
2023-01,39586
2023-02,35023
2023-03,41060
2023-04,36594
2023-05,41134
2023-06,41320
2023-07,40771
2023-08,46311
2023-09,42517
2023-10,43349
2023-11,38894
2023-12,40851
2024-01,43920
2024-02,48111
2024-03,61162
2024-04,63970
2024-05,71313
2024-06,68200
2024-07,72849
2024-08,75893
2024-09,74366
2024-10,79684
2024-11,73591
2024-12,81325
2025-01,172937
2025-02,92468
2025-03,105164
2025-04,104983
2025-05,106947
2025-06,112685
2025-07,125542
2025-08,108868
2025-09,81659
2025-10,76162
2025-11,78131
2025-12,56510
2026-01,22211
2026-02,12100
2026-03,21603
2026-04,21024
2026-05,17040
2026-06,10387
2026-07,2793
