issue,anio,n,pct_del_anio
Communication tactics,2015,2322,4.243188421687408
False statements or representation,2015,1345,2.4578330866363323
Fraud or scam,2015,408,0.7455731593662628
Communication tactics,2016,2604,3.34850705964046
False statements or representation,2016,1711,2.2001903145333435
Fraud or scam,2016,377,0.4847876964226011
Incorrect information on your report,2017,17034,14.772224679345422
Problem with a credit reporting company's investigation into an existing problem,2017,8941,7.753813599743303
Improper use of your report,2017,8140,7.059170417392964
Attempts to collect debt not owed,2017,6986,6.058398591634797
Trouble during payment process,2017,3513,3.046543694877332
Written notification about debt,2017,3063,2.6562947160288264
Dealing with your lender or servicer,2017,2921,2.533149482703298
Communication tactics,2017,2870,2.4889212651004673
Managing an account,2017,2553,2.21401254000052
False statements or representation,2017,2417,2.0960706263929723
Took or threatened to take negative or legal action,2017,2144,1.859319579224879
Problem with a purchase shown on your statement,2017,1556,1.3493942468628317
Fraud or scam,2017,631,0.5472157903409042
Other transaction problem,2017,364,0.31566806289079097
Incorrect information on your report,2018,27608,23.31894622148269
Problem with a credit reporting company's investigation into an existing problem,2018,13828,11.67974457949372
Attempts to collect debt not owed,2018,11257,9.508163489395487
Improper use of your report,2018,6425,5.426841113917208
Written notification about debt,2018,5221,4.409889098173034
Trouble during payment process,2018,4822,4.07287593016479
Managing an account,2018,3793,3.203736707406688
Dealing with your lender or servicer,2018,3534,2.9849737737873014
Communication tactics,2018,3218,2.7180661018810235
Took or threatened to take negative or legal action,2018,2971,2.5094389026378248
Problem with a purchase shown on your statement,2018,2648,2.2366187190121036
False statements or representation,2018,2643,2.232395496355359
Fraud or scam,2018,969,0.8184605508771633
Other transaction problem,2018,696,0.5878725938188913
Incorrect information on your report,2019,34263,27.444870757671637
Problem with a credit reporting company's investigation into an existing problem,2019,16367,13.11006624320146
Attempts to collect debt not owed,2019,11017,8.824683802856388
Improper use of your report,2019,5905,4.729940805651899
Trouble during payment process,2019,5131,4.109962112413191
Written notification about debt,2019,4234,3.3914596733497273
Managing an account,2019,4020,3.2200443757359243
Problem with a purchase shown on your statement,2019,2939,2.354156820967135
Dealing with your lender or servicer,2019,2891,2.3157085299135716
Communication tactics,2019,2789,2.2340059114247497
Took or threatened to take negative or legal action,2019,2651,2.123467074645755
False statements or representation,2019,2533,2.0289483591390787
Fraud or scam,2019,1257,1.0068646219651882
Other transaction problem,2019,452,0.36205474075438754
Incorrect information on your report,2020,58187,33.38382186727253
Problem with a credit reporting company's investigation into an existing problem,2020,30275,17.36977687510399
Attempts to collect debt not owed,2020,12413,7.12175195212769
Trouble during payment process,2020,5864,3.3643723070391345
Improper use of your report,2020,5662,3.2484781723150715
Managing an account,2020,5396,3.0958651038170477
Written notification about debt,2020,5126,2.9409571019581517
Problem with a purchase shown on your statement,2020,4430,2.541638697166331
False statements or representation,2020,2941,1.6873497535815303
Took or threatened to take negative or legal action,2020,2596,1.4894117512062743
Communication tactics,2020,2231,1.2799990820266556
Dealing with your lender or servicer,2020,1646,0.9443650779990476
Fraud or scam,2020,1573,0.9024825441631239
Other transaction problem,2020,889,0.5100489394539206
Incorrect information on your report,2021,53000,26.035270422950337
Problem with a credit reporting company's investigation into an existing problem,2021,41839,20.552635457090926
Attempts to collect debt not owed,2021,18401,9.039151151937908
Improper use of your report,2021,13172,6.47050154737928
Managing an account,2021,6830,3.3551112639386944
Written notification about debt,2021,6516,3.200864567470649
Trouble during payment process,2021,6442,3.1645134351820015
Problem with a purchase shown on your statement,2021,4399,2.160927445104878
False statements or representation,2021,3324,1.6328535638846589
Took or threatened to take negative or legal action,2021,3146,1.5454143537849387
Fraud or scam,2021,2613,1.283587955003193
Communication tactics,2021,2477,1.2167804686348676
Dealing with your lender or servicer,2021,1444,0.7093383111460432
Other transaction problem,2021,1358,0.6670924006484256
Incorrect information on your report,2022,82606,24.492325208362367
Improper use of your report,2022,81144,24.058848469933853
Problem with a credit reporting company's investigation into an existing problem,2022,67429,19.992409709641745
Attempts to collect debt not owed,2022,15844,4.697678142039238
Managing an account,2022,10152,3.0100245201958056
Trouble during payment process,2022,6102,1.8092168658623726
Written notification about debt,2022,5933,1.7591090896691997
Problem with a purchase shown on your statement,2022,5591,1.6577075544143764
Fraud or scam,2022,3795,1.1252012464679948
Took or threatened to take negative or legal action,2022,3308,0.9808078322308634
Dealing with your lender or servicer,2022,3289,0.9751744136055954
False statements or representation,2022,3253,0.9645005677892983
Communication tactics,2022,2447,0.7255250197910891
Other transaction problem,2022,1089,0.3228838359429898
Incorrect information on your report,2023,141667,29.065263330666173
Improper use of your report,2023,103704,21.27654336185142
Problem with a credit reporting company's investigation into an existing problem,2023,71769,14.724564534991075
Problem with a company's investigation into an existing problem,2023,34347,7.046839416507663
Attempts to collect debt not owed,2023,17191,3.52701011468784
Managing an account,2023,15491,3.1782277753841734
Problem with a purchase shown on your statement,2023,7305,1.4987382285960484
Written notification about debt,2023,6877,1.410927145524302
Trouble during payment process,2023,6762,1.3873330461008186
Dealing with your lender or servicer,2023,4902,1.005724133686219
Took or threatened to take negative or legal action,2023,3948,0.8099956915122792
False statements or representation,2023,3642,0.7472148704376192
Fraud or scam,2023,3514,0.7209536119488726
Communication tactics,2023,2939,0.6029831148314561
Other transaction problem,2023,1303,0.26733140477216305
Incorrect information on your report,2024,308184,37.84259022770585
Improper use of your report,2024,176610,21.68632979036916
Problem with a company's investigation into an existing problem,2024,144462,17.73880626338435
Attempts to collect debt not owed,2024,32038,3.9340163853906756
Written notification about debt,2024,21159,2.598160081730486
Managing an account,2024,16409,2.0148971492563703
Problem with a purchase shown on your statement,2024,8235,1.0111937366156507
Trouble during payment process,2024,6898,0.8470205701487259
False statements or representation,2024,6312,0.7750643431108666
Dealing with your lender or servicer,2024,5832,0.7161240888819034
Took or threatened to take negative or legal action,2024,5354,0.6574294190455608
Fraud or scam,2024,3632,0.4459812569991552
Communication tactics,2024,3477,0.42694846657105245
Other transaction problem,2024,1848,0.2269199787815085
Incorrect information on your report,2025,478357,39.14362353280046
Improper use of your report,2025,261762,21.41980400243524
Problem with a company's investigation into an existing problem,2025,168748,13.808532505875345
Attempts to collect debt not owed,2025,45772,3.7454912049856963
Other transaction problem,2025,45406,3.715541677304477
Managing an account,2025,26503,2.16872221894905
Written notification about debt,2025,24188,1.9792873648998082
False statements or representation,2025,14034,1.1483925450224868
Problem with a purchase shown on your statement,2025,11103,0.9085508356409199
Took or threatened to take negative or legal action,2025,8033,0.6573348520853382
Trouble during payment process,2025,7352,0.6016090915637254
Fraud or scam,2025,6897,0.5643767552387124
Dealing with your lender or servicer,2025,6426,0.5258351499440288
Communication tactics,2025,5021,0.410864968544813
Attempts to collect debt not owed,2026,18484,17.24929543291215
Managing an account,2026,10612,9.903133690438418
Written notification about debt,2026,6341,5.91743033651244
Problem with a purchase shown on your statement,2026,6304,5.882901883200508
False statements or representation,2026,4933,4.6034827077773
Incorrect information on your report,2026,4096,3.8223931017749493
Trouble during payment process,2026,3461,3.2298101868269287
Took or threatened to take negative or legal action,2026,3268,3.0497023087403647
Fraud or scam,2026,2625,2.4496537822654396
Dealing with your lender or servicer,2026,2029,1.893465723511077
Problem with a company's investigation into an existing problem,2026,1680,1.5677784206498815
Communication tactics,2026,1679,1.5668452192090185
Improper use of your report,2026,1515,1.4138001829074824
Other transaction problem,2026,1354,1.2635547509285354
