bloque,regimen,rango,empresa,n,pct,pct_acum,n_empresas
empresa,historico,1,"EQUIFAX, INC.",817318,21.2999,21.2999,1
empresa,historico,2,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",775030,20.1979,41.4978,1
empresa,historico,3,Experian Information Solutions Inc.,737722,19.2256,60.7234,1
empresa,historico,4,CAPITAL ONE FINANCIAL CORPORATION,70826,1.8458,62.5692,1
empresa,historico,5,JPMORGAN CHASE & CO.,65005,1.6941,64.2633,1
empresa,historico,6,WELLS FARGO & COMPANY,60724,1.5825,65.8458,1
empresa,historico,7,"BANK OF AMERICA, NATIONAL ASSOCIATION",58743,1.5309,67.3767,1
empresa,historico,8,"CITIBANK, N.A.",55558,1.4479,68.8246,1
empresa,historico,9,"Block, Inc.",48634,1.2674,70.092,1
empresa,historico,10,SYNCHRONY FINANCIAL,35130,0.9155,71.0075,1
empresa,historico,11,AMERICAN EXPRESS COMPANY,25266,0.6585,71.666,1
empresa,historico,12,Resurgent Capital Services L.P.,23377,0.6092,72.2752,1
empresa,historico,13,"Paypal Holdings, Inc",22388,0.5834,72.8587,1
empresa,historico,14,NAVY FEDERAL CREDIT UNION,22316,0.5816,73.4402,1
empresa,historico,15,"Portfolio Recovery Associates, LLC",21644,0.5641,74.0043,1
empresa,historico,16,"Early Warning Services, LLC",21365,0.5568,74.5611,1
empresa,historico,17,ENCORE CAPITAL GROUP INC.,21187,0.5521,75.1132,1
empresa,historico,18,"Navient Solutions, LLC.",20794,0.5419,75.6551,1
empresa,historico,19,"Bread Financial Holdings, Inc.",20727,0.5402,76.1953,1
empresa,historico,20,U.S. BANCORP,19190,0.5001,76.6954,1
empresa,historico,21,DISCOVER BANK,18681,0.4868,77.1823,1
empresa,historico,22,Chime Financial Inc,15933,0.4152,77.5975,1
empresa,historico,23,CL Holdings LLC,14696,0.383,77.9805,1
empresa,historico,24,TD BANK US HOLDING COMPANY,14359,0.3742,78.3547,1
empresa,historico,25,MOHELA,13449,0.3505,78.7052,1
curva,historico,1,,,,21.2999,1
curva,historico,2,,,,41.4978,2
curva,historico,3,,,,60.7234,3
curva,historico,4,,,,62.5692,4
curva,historico,5,,,,64.2633,5
curva,historico,6,,,,65.8458,6
curva,historico,7,,,,67.3767,7
curva,historico,8,,,,68.8246,8
curva,historico,9,,,,70.092,9
curva,historico,10,,,,71.0075,10
curva,historico,11,,,,71.666,11
curva,historico,12,,,,72.2752,12
curva,historico,13,,,,72.8587,13
curva,historico,14,,,,73.4402,14
curva,historico,15,,,,74.0043,15
curva,historico,16,,,,74.5611,16
curva,historico,18,,,,75.6551,18
curva,historico,19,,,,76.1953,19
curva,historico,20,,,,76.6954,20
curva,historico,22,,,,77.5975,22
curva,historico,24,,,,78.3547,24
curva,historico,25,,,,78.7052,25
curva,historico,27,,,,79.3391,27
curva,historico,30,,,,80.2571,30
curva,historico,32,,,,80.7997,32
curva,historico,34,,,,81.2921,34
curva,historico,37,,,,81.9646,37
curva,historico,40,,,,82.6134,40
curva,historico,43,,,,83.1681,43
curva,historico,46,,,,83.6638,46
curva,historico,49,,,,84.1292,49
curva,historico,50,,,,84.2811,50
curva,historico,53,,,,84.716,53
curva,historico,57,,,,85.2294,57
curva,historico,62,,,,85.7765,62
curva,historico,66,,,,86.1911,66
curva,historico,71,,,,86.685,71
curva,historico,77,,,,87.2339,77
curva,historico,83,,,,87.7378,83
curva,historico,89,,,,88.2097,89
curva,historico,96,,,,88.696,96
curva,historico,100,,,,88.9498,100
curva,historico,103,,,,89.1316,103
curva,historico,111,,,,89.5878,111
curva,historico,119,,,,89.9945,119
curva,historico,129,,,,90.457,129
curva,historico,138,,,,90.8421,138
curva,historico,149,,,,91.2738,149
