bloque,regimen,clave,n,pct,n_unicos
patron_zip,historico,NNNNN,2975729,77.5498,
patron_zip,historico,NNNXX,788659,20.5531,
patron_zip,historico,XXXXX,72506,1.8896,
patron_zip,historico,(nulo),290,0.0076,
zip3,historico,300,82206,2.1424,
zip3,historico,770,78929,2.057,
zip3,historico,331,67970,1.7714,
zip3,historico,606,66914,1.7438,
zip3,historico,330,66225,1.7259,
zip3,historico,191,57254,1.4921,
zip3,historico,303,57044,1.4866,
zip3,historico,302,48750,1.2705,
zip3,historico,750,48310,1.259,
zip3,historico,112,43065,1.1223,
zip3,historico,604,40749,1.062,
zip3,historico,900,38316,0.9985,
zip3,historico,774,37278,0.9715,
zip3,historico,891,35094,0.9146,
zip3,historico,761,34752,0.9057,
zip3,historico,334,33783,0.8804,
zip3,historico,333,32649,0.8509,
zip3,historico,752,32566,0.8487,
zip3,historico,282,31885,0.8309,
zip3,historico,301,30642,0.7986,
estado,historico,TX,485539,12.6535,
estado,historico,FL,458316,11.9441,
estado,historico,CA,409800,10.6797,
estado,historico,GA,285542,7.4414,
estado,historico,NY,220632,5.7498,
estado,historico,IL,179804,4.6858,
estado,historico,PA,145752,3.7984,
estado,historico,NC,143074,3.7286,
estado,historico,NJ,121691,3.1714,
estado,historico,MD,94701,2.468,
estado,historico,VA,92115,2.4006,
estado,historico,OH,91471,2.3838,
estado,historico,MI,89711,2.3379,
estado,historico,SC,84072,2.191,
estado,historico,LA,73848,1.9245,
estado,historico,AZ,70375,1.834,
estado,historico,AL,66784,1.7404,
estado,historico,TN,64567,1.6827,
estado,historico,NV,54694,1.4254,
estado,historico,MO,51908,1.3528,
estado,historico,(nulo),13718,0.3575,
resumen,historico,filas,3837184,100.0,
resumen,historico,zip3_derivable,3764388,98.1029,876
resumen,historico,zip_crudo,3836894,99.9924,6938
resumen,historico,estado,3823466,99.6425,63
patron_zip,2023_2025,NNNNN,1976761,78.3232,
patron_zip,2023_2025,NNNXX,506853,20.0825,
patron_zip,2023_2025,XXXXX,40236,1.5942,
zip3,2023_2025,770,57505,2.2785,
zip3,2023_2025,300,55282,2.1904,
zip3,2023_2025,331,48680,1.9288,
zip3,2023_2025,330,47768,1.8927,
zip3,2023_2025,606,47195,1.87,
zip3,2023_2025,303,39637,1.5705,
zip3,2023_2025,191,38448,1.5234,
zip3,2023_2025,302,35380,1.4018,
zip3,2023_2025,750,33300,1.3194,
zip3,2023_2025,604,30329,1.2017,
zip3,2023_2025,112,29045,1.1508,
zip3,2023_2025,761,28977,1.1481,
zip3,2023_2025,774,27751,1.0996,
zip3,2023_2025,900,24022,0.9518,
zip3,2023_2025,752,23217,0.9199,
zip3,2023_2025,282,22535,0.8929,
zip3,2023_2025,334,22345,0.8854,
zip3,2023_2025,333,22211,0.88,
zip3,2023_2025,891,22021,0.8725,
zip3,2023_2025,301,21265,0.8426,
estado,2023_2025,TX,357164,14.1516,
estado,2023_2025,FL,313740,12.431,
estado,2023_2025,CA,248198,9.8341,
estado,2023_2025,GA,197697,7.8332,
estado,2023_2025,NY,143216,5.6745,
estado,2023_2025,IL,124584,4.9363,
estado,2023_2025,NC,98937,3.9201,
estado,2023_2025,PA,91781,3.6365,
estado,2023_2025,NJ,79377,3.1451,
estado,2023_2025,MD,61212,2.4253,
estado,2023_2025,SC,60253,2.3873,
estado,2023_2025,MI,59805,2.3696,
estado,2023_2025,VA,58084,2.3014,
estado,2023_2025,LA,54420,2.1562,
estado,2023_2025,OH,54274,2.1504,
estado,2023_2025,AL,46362,1.837,
estado,2023_2025,AZ,44109,1.7477,
estado,2023_2025,TN,39103,1.5493,
estado,2023_2025,NV,33798,1.3391,
estado,2023_2025,MO,32242,1.2775,
estado,2023_2025,(nulo),8217,0.3256,
resumen,2023_2025,filas,2523850,100.0,
resumen,2023_2025,zip3_derivable,2483614,98.4058,876
resumen,2023_2025,zip_crudo,2523850,100.0,6935
resumen,2023_2025,estado,2515633,99.6744,61
