anio,n_reclamos,n_etiquetables,n_censurados,tasa_relief,tasa_monetario,tasa_fuera_plazo
2015,54723,54723,0,20.28,7.22,3.44
2016,77766,77766,0,18.93,7.29,3.96
2017,115311,115311,0,15.06,4.91,2.98
2018,118393,118392,1,17.87,4.76,2.02
2019,124843,124843,0,18.5,4.4,1.75
2020,174297,174297,0,11.25,3.81,1.39
2021,203570,203570,0,12.93,3.67,1.52
2022,337273,337273,0,32.19,2.74,0.8
2023,487410,487409,1,38.83,2.51,0.64
2024,814384,814377,7,45.8,1.71,0.47
2025,1222056,1221946,110,36.8,1.24,0.87
2026,107158,107157,1,18.27,6.62,3.52
