producto,n_reclamos,tasa_relief,tasa_monetario,tasa_fuera_plazo
Credit reporting or other personal consumer reports,1671841,47.33,0.06,0.18
"Credit reporting, credit repair services, or other personal consumer reports",807499,29.15,0.25,0.5
Debt collection,441051,19.06,0.56,3.54
Checking or savings account,186789,20.36,14.89,0.98
Mortgage,146301,6.71,3.35,1.69
Credit card,126827,32.61,17.37,0.58
"Money transfer, virtual currency, or money service",120644,8.75,5.47,1.55
Credit card or prepaid card,108683,30.38,18.19,1.12
Student loan,62620,6.32,1.53,10.02
Vehicle loan or lease,53005,9.3,3.17,1.95
Credit reporting,31587,23.59,0.77,0.28
"Payday loan, title loan, personal loan, or advance loan",18202,7.01,3.51,4.69
"Payday loan, title loan, or personal loan",17219,9.62,4.97,5.5
Bank account or service,14883,31.92,23.38,4.17
Prepaid card,11581,27.66,21.74,5.54
Consumer Loan,9458,14.75,6.31,5.14
Debt or credit management,5444,13.08,3.58,8.5
Payday loan,1745,7.22,4.81,12.15
Money transfers,1497,21.38,13.09,4.21
Other financial service,292,19.52,16.1,11.64
Virtual currency,16,0.0,0.0,12.5
