regimen,dimension,grupo,n,pct_del_total,pct_producto_dominante,relief_crudo,relief_ajustado,relief_cobertura,relief_estratos,monetario_crudo,monetario_ajustado,monetario_cobertura,monetario_estratos,fuera_plazo_crudo,fuera_plazo_ajustado,fuera_plazo_cobertura,fuera_plazo_estratos
historico,tags,(población),3837184.0,100.0,43.57,33.186,33.186,100.0,21.0,2.558,2.558,100.0,21.0,1.111,1.111,100.0,21.0
historico,tags,(sin etiqueta),3469441.0,90.416,46.35,34.45,33.612,100.0,20.0,2.251,2.488,100.0,20.0,1.042,1.094,100.0,20.0
historico,tags,Servicemember,240169.0,6.259,21.48,21.574,26.185,99.99,19.0,3.479,2.489,99.99,19.0,1.789,1.374,99.99,19.0
historico,tags,Older American,98630.0,2.57,9.15,20.864,24.598,99.99,19.0,9.574,3.94,99.99,19.0,1.749,1.35,99.99,19.0
historico,tags,"Older American, Servicemember",28824.0,0.751,11.19,19.959,24.564,99.91,17.0,7.879,3.68,99.91,17.0,1.582,1.147,99.91,17.0
historico,estado,(población),3837184.0,100.0,43.57,33.186,33.186,100.0,21.0,2.558,2.558,100.0,21.0,1.111,1.111,100.0,21.0
historico,estado,TX,485531.0,12.653,52.45,36.419,34.089,99.99,19.0,1.633,2.317,99.99,19.0,0.954,1.079,99.99,19.0
historico,estado,FL,458309.0,11.944,48.3,35.628,33.938,99.99,19.0,1.893,2.453,99.99,19.0,0.86,1.031,99.99,19.0
historico,estado,CA,409789.0,10.679,37.96,31.855,33.309,99.99,19.0,3.792,2.908,99.99,19.0,1.254,1.2,99.99,19.0
historico,estado,GA,285527.0,7.441,49.56,34.575,32.553,99.99,19.0,1.314,2.034,99.99,19.0,0.971,1.153,99.99,19.0
historico,estado,NY,220626.0,5.75,42.47,33.769,33.709,99.95,18.0,3.519,2.887,99.95,18.0,0.863,0.905,99.95,18.0
historico,estado,IL,179798.0,4.686,45.7,34.426,33.651,99.95,18.0,2.074,2.137,99.95,18.0,0.83,0.928,99.95,18.0
historico,estado,PA,145747.0,3.798,40.26,33.808,34.1,99.95,18.0,2.498,2.52,99.95,18.0,1.001,0.984,99.95,18.0
historico,estado,NC,143071.0,3.729,47.81,34.969,33.531,99.91,17.0,1.98,2.443,99.91,17.0,1.023,1.157,99.91,17.0
historico,estado,NJ,121689.0,3.171,43.37,33.64,33.6,99.95,18.0,3.19,2.838,99.95,18.0,1.049,1.077,99.95,18.0
historico,estado,MD,94696.0,2.468,42.67,32.92,33.423,99.95,18.0,2.549,2.54,99.95,18.0,1.119,1.084,99.95,18.0
historico,estado,VA,92108.0,2.4,38.69,30.673,32.222,99.99,19.0,3.115,2.591,99.99,19.0,1.248,1.108,99.99,19.0
historico,estado,OH,91463.0,2.384,36.89,29.753,31.709,99.95,18.0,2.994,2.657,99.95,18.0,1.364,1.141,99.95,18.0
2023_2025,tags,(población),2523850.0,100.0,66.07,40.094,40.094,100.0,14.0,1.636,1.636,100.0,14.0,0.699,0.699,100.0,14.0
2023_2025,tags,(sin etiqueta),2347041.0,92.994,68.33,41.204,40.545,100.0,14.0,1.378,1.555,100.0,14.0,0.649,0.685,100.0,14.0
2023_2025,tags,Servicemember,120281.0,4.766,42.82,26.249,30.976,100.0,14.0,3.025,1.73,100.0,14.0,1.363,0.982,100.0,14.0
2023_2025,tags,Older American,43058.0,1.706,20.93,23.531,28.303,100.0,14.0,9.847,3.071,100.0,14.0,1.375,0.995,100.0,14.0
2023_2025,tags,"Older American, Servicemember",13352.0,0.529,24.11,23.068,28.424,100.0,14.0,8.044,2.844,100.0,14.0,1.273,0.822,100.0,14.0
2023_2025,estado,(población),2523850.0,100.0,66.07,40.094,40.094,100.0,14.0,1.636,1.636,100.0,14.0,0.699,0.699,100.0,14.0
2023_2025,estado,TX,357157.0,14.151,71.03,42.484,41.105,100.0,14.0,0.982,1.419,100.0,14.0,0.539,0.648,100.0,14.0
2023_2025,estado,FL,313733.0,12.431,70.39,42.177,40.555,100.0,14.0,1.175,1.57,100.0,14.0,0.511,0.656,100.0,14.0
2023_2025,estado,CA,248188.0,9.834,62.53,39.618,40.542,100.0,14.0,2.598,1.946,100.0,14.0,0.749,0.715,100.0,14.0
2023_2025,estado,GA,197682.0,7.833,71.43,41.003,39.396,100.0,14.0,0.815,1.285,100.0,14.0,0.592,0.71,100.0,14.0
2023_2025,estado,NY,143210.0,5.674,65.3,40.368,40.487,100.0,14.0,2.269,1.9,100.0,14.0,0.547,0.552,100.0,14.0
2023_2025,estado,IL,124578.0,4.936,65.81,40.567,40.432,100.0,14.0,1.206,1.21,100.0,14.0,0.574,0.641,100.0,14.0
2023_2025,estado,NC,98934.0,3.92,68.98,41.246,40.033,100.0,14.0,1.277,1.611,100.0,14.0,0.641,0.74,100.0,14.0
2023_2025,estado,PA,91776.0,3.636,63.78,40.674,40.553,100.0,14.0,1.667,1.647,100.0,14.0,0.695,0.657,100.0,14.0
2023_2025,estado,NJ,79375.0,3.145,66.35,40.736,40.389,100.0,14.0,2.004,1.86,100.0,14.0,0.678,0.729,100.0,14.0
2023_2025,estado,MD,61207.0,2.425,65.82,40.085,40.158,100.0,14.0,1.549,1.595,100.0,14.0,0.72,0.698,100.0,14.0
2023_2025,estado,SC,60248.0,2.387,72.02,42.41,40.881,100.0,14.0,0.901,1.371,100.0,14.0,0.594,0.715,100.0,14.0
2023_2025,estado,MI,59802.0,2.369,63.45,37.771,38.581,100.0,14.0,1.702,1.649,100.0,14.0,0.813,0.716,100.0,14.0
