id,algorithm,parameters,clusters,noise_fraction,small_cluster_fraction,largest_cluster_fraction,minimum_cluster_rows,median_cluster_rows,maximum_cluster_rows,silhouette_rows,silhouette_mean,silhouette_median,negative_silhouette_fraction,neighbor_same_cluster_rate,neighbor_chance_rate,neighbor_lift,unique_hash_fraction,template_dominated_rows_fraction,product_nmi,t1_nmi,elapsed_seconds,initial_failures,selected,stability_ari,stability_ari_all,future_coverage,future_rejected_fraction,assignment_type,final_failures,accepted,mean_probability
kmeans_k20,kmeans,"{""clusters"": 20}",20.0,0.0,0.0,0.22455,188.0,397.0,4491.0,5000.0,0.12843215465545654,0.1260088086128235,0.3578,0.743595,0.12403927,0.61955573,0.80195,0.0,0.18265594147333156,0.17367125099089503,0.7243674659985118,negative_silhouette,False,,,,,not_evaluated,negative_silhouette,False,
kmeans_k40,kmeans,"{""clusters"": 40}",40.0,0.0,0.0,0.13885,61.0,196.5,2777.0,5000.0,0.13756345212459564,0.1435348391532898,0.2896,0.71008,0.071541695,0.6385383050000001,0.80195,0.0,0.203007916138429,0.20373495742209882,0.7402007529744878,,True,0.6260025961209845,0.6260025961209845,0.9899,0.010099999999999998,native_centers,,True,
kmeans_k80,kmeans,"{""clusters"": 80}",80.0,0.0,0.0187,0.05625,11.0,131.0,1125.0,5000.0,0.13355378806591034,0.14567086100578308,0.2838,0.6374,0.028350265,0.6090497349999999,0.80195,0.0057,0.21482660265756123,0.22889041448024613,1.055453376029618,,False,,,,,not_evaluated,,False,
hdbscan_mcs100_ms10,hdbscan,"{""min_cluster_size"": 100, ""min_samples"": 10}",28.0,0.65865,0.0,0.0365,102.0,186.5,730.0,1750.0,0.49244195222854614,0.5444663763046265,0.046285714285714284,0.9232751001372774,0.05130764338402592,0.8719674567532515,0.989893071627362,0.0,0.38358592411715586,0.39570005268015007,6.689000484999269,noise,False,,,,,not_evaluated,noise,False,0.30822325551201063
hdbscan_mcs100_ms30,hdbscan,"{""min_cluster_size"": 100, ""min_samples"": 30}",5.0,0.32125,0.0,0.65035,108.0,136.0,13007.0,3393.0,0.33376580476760864,0.39614224433898926,0.1058060713233127,0.9942710997442455,0.9185389348446154,0.0757321648996302,0.9844567219152854,0.0,0.02122308382814838,0.03915066681383629,8.210672355024144,"largest_cluster,neighbor_lift",False,,,,,not_evaluated,"largest_cluster,neighbor_lift",False,0.6667839652078432
hdbscan_mcs250_ms10,hdbscan,"{""min_cluster_size"": 250, ""min_samples"": 10}",2.0,0.41185,0.0,0.5401,961.0,5881.5,10802.0,2943.0,0.5263102650642395,0.5693575739860535,0.029561671763506627,0.9911881565846895,0.8499550572212891,0.14123309936340045,0.9902235824194509,0.0,0.041065407987138904,0.05225647861030666,6.317303051997442,"cluster_count,largest_cluster,noise",False,,,,,not_evaluated,"cluster_count,largest_cluster,noise",False,0.5629091828511357
hdbscan_mcs250_ms30,hdbscan,"{""min_cluster_size"": 250, ""min_samples"": 30}",7.0,0.68805,0.0,0.08445,252.0,907.0,1689.0,1606.0,0.48079755902290344,0.5439901351928711,0.04420921544209216,0.9630890484443344,0.1920296920849649,0.7710593563593695,0.9958326654912646,0.0,0.4371157649447191,0.36934438642343265,7.937915290996898,noise,False,,,,,not_evaluated,noise,False,0.26054663255109733
hdbscan_mcs500_ms10,hdbscan,"{""min_cluster_size"": 500, ""min_samples"": 10}",2.0,0.41185,0.0,0.5401,961.0,5881.5,10802.0,2943.0,0.5263102650642395,0.5693575739860535,0.029561671763506627,0.9911881565846895,0.8499550572212891,0.14123309936340045,0.9902235824194509,0.0,0.041065407987138904,0.05225647861030666,6.366795183974318,"cluster_count,largest_cluster,noise",False,,,,,not_evaluated,"cluster_count,largest_cluster,noise",False,0.5255030855509756
hdbscan_mcs500_ms30,hdbscan,"{""min_cluster_size"": 500, ""min_samples"": 30}",2.0,0.4891,0.0,0.46555,907.0,5109.0,9311.0,2558.0,0.5454990267753601,0.592538595199585,0.029319781078967943,0.9928194558021262,0.8382285744081048,0.15459088139402133,0.9935408103347034,0.0,0.04833946556011386,0.05831700545236487,8.161148182000034,"cluster_count,noise",True,1.0,0.9520471183490403,0.626325,0.373675,centroid_adapter,"cluster_count,noise,future_coverage",False,0.4839662601824457
cure_k20_r5_c0.5,cure,"{""clusters"": 20, ""representatives"": 5, ""compression"": 0.5}",20.0,0.0,0.0079,0.9921,3.0,8.5,19842.0,5000.0,0.40929749608039856,0.5251033306121826,0.0892,0.988085,0.984266,0.003819000000000017,0.80195,0.0079,0.004014505591932826,0.007440514848456529,180.15977998601738,"largest_cluster,neighbor_lift",True,0.4307434357964067,0.4307434357964067,0.95755,0.04244999999999999,representative_adapter,"largest_cluster,neighbor_lift,stability",False,
cure_k40_r5_c0.5,cure,"{""clusters"": 40, ""representatives"": 5, ""compression"": 0.5}",40.0,0.0,0.01405,0.98595,1.0,8.0,19719.0,5000.0,0.3964076042175293,0.5227193832397461,0.1302,0.97936,0.9721035500000001,0.007256449999999859,0.80195,0.01365,0.008707347819195833,0.015159934373354896,180.75835671200184,"largest_cluster,neighbor_lift",False,,,,,not_evaluated,"largest_cluster,neighbor_lift",False,
cure_k80_r5_c0.5,cure,"{""clusters"": 80, ""representatives"": 5, ""compression"": 0.5}",80.0,0.0,0.0299,0.9701,1.0,7.0,19402.0,5000.0,0.3831344544887543,0.48798057436943054,0.1592,0.96284,0.941109255,0.02173074500000005,0.80195,0.0291,0.014876220980494266,0.028140446975010044,179.79826680599945,"largest_cluster,neighbor_lift",False,,,,,not_evaluated,"largest_cluster,neighbor_lift",False,
